order_id,customer_id,city,order_time,restaurant,cuisine,delivery_time_mins,order_value,rating,delivery_partner
ORD100000,CUST1776,Ahmedabad,2025-04-09 06:02:04.894866,Restaurant_101,South Indian,32,243.67,5.0,Rider_60
ORD100001,CUST1193,Delhi,2025-11-05 02:39:56.894866,Restaurant_196,Italian,10,760.91,5.0,Rider_440
ORD100002,CUST2892,Hyderabad,2025-08-18 20:33:51.894866,Restaurant_40,Chinese,34,50.0,5.0,Rider_286
ORD100003,CUST3169,Hyderabad,2025-06-30 18:12:42.894866,Restaurant_143,Continental,25,592.04,5.0,Rider_201
ORD100004,CUST3411,Pune,2025-01-19 14:25:17.894866,Restaurant_28,Chinese,53,53.1,3.0,Rider_89
ORD100005,CUST2027,Pune,2025-01-19 00:42:08.894866,Restaurant_185,Indian,31,246.06,5.0,Rider_34
ORD100006,CUST1148,Chennai,2024-12-15 21:44:57.894866,Restaurant_192,Chinese,55,436.41,5.0,Rider_104
ORD100007,CUST3841,Bengaluru,2025-10-05 05:39:17.894866,Restaurant_123,Middle Eastern,43,410.65,4.0,Rider_296
ORD100008,CUST2140,Pune,2025-07-01 20:28:43.894866,Restaurant_133,Fast Food,46,121.13,3.0,Rider_367
ORD100009,CUST3893,Delhi,2025-08-09 02:13:59.894866,Restaurant_62,Indian,42,322.24,5.0,Rider_11
ORD100010,CUST1237,Hyderabad,2024-12-01 21:10:21.894866,Restaurant_170,Chinese,43,314.68,4.0,Rider_207
ORD100011,CUST2161,Delhi,2025-11-12 14:32:23.894866,Restaurant_66,Chinese,61,319.85,3.0,Rider_499
ORD100012,CUST1729,Bengaluru,2025-09-23 14:36:26.894866,Restaurant_20,Fast Food,70,315.92,4.0,Rider_285
ORD100013,CUST1457,Chennai,2025-02-09 21:43:11.894866,Restaurant_86,South Indian,49,94.51,5.0,Rider_222
ORD100014,CUST3532,Mumbai,2025-01-29 22:01:06.894866,Restaurant_168,Chinese,48,233.18,4.0,Rider_11
ORD100015,CUST3042,Mumbai,2025-01-29 20:38:31.894866,Restaurant_155,Italian,62,565.82,4.0,Rider_385
ORD100016,CUST2754,Chennai,2025-03-14 13:02:45.894866,Restaurant_149,South Indian,83,285.33,4.0,Rider_465
ORD100017,CUST3896,Ahmedabad,2025-06-03 22:16:47.894866,Restaurant_121,Italian,42,331.92,4.0,Rider_459
ORD100018,CUST1713,Hyderabad,2025-04-30 09:52:46.894866,Restaurant_20,Middle Eastern,32,368.17,5.0,Rider_413
ORD100019,CUST2610,Delhi,2025-03-10 02:38:09.894866,Restaurant_32,Continental,36,536.82,4.0,Rider_191
ORD100020,CUST1343,Chennai,2025-07-05 13:54:45.894866,Restaurant_182,South Indian,38,189.35,4.0,Rider_494
ORD100021,CUST2362,Mumbai,2025-01-13 00:35:25.894866,Restaurant_36,Continental,48,684.26,5.0,Rider_204
ORD100022,CUST3283,Pune,2025-03-10 20:25:21.894866,Restaurant_186,Italian,66,491.22,3.0,Rider_222
ORD100023,CUST2487,Pune,2025-04-06 01:34:08.894866,Restaurant_112,Chinese,8,368.21,5.0,Rider_59
ORD100024,CUST1662,Bengaluru,2025-05-09 19:17:42.894866,Restaurant_110,Continental,60,318.44,5.0,Rider_492
ORD100025,CUST3423,Hyderabad,2025-09-06 13:55:37.894866,Restaurant_67,Italian,50,525.31,4.0,Rider_91
ORD100026,CUST1245,Chennai,2025-02-04 05:17:44.894866,Restaurant_200,Chinese,9,303.63,5.0,Rider_292
ORD100027,CUST2277,Pune,2025-05-30 18:38:50.894866,Restaurant_30,Fast Food,25,233.15,5.0,Rider_143
ORD100028,CUST3613,Kolkata,2025-06-28 22:11:51.894866,Restaurant_196,Italian,56,940.97,5.0,Rider_201
ORD100029,CUST3746,Delhi,2024-12-10 20:39:08.894866,Restaurant_135,Indian,45,333.68,4.0,Rider_95
ORD100030,CUST3962,Delhi,2025-07-03 21:41:16.894866,Restaurant_122,Middle Eastern,39,324.12,5.0,Rider_217
ORD100031,CUST3328,Pune,2025-01-25 22:49:23.894866,Restaurant_152,Indian,28,305.41,5.0,Rider_60
